date,store,product,category,actual_units,predicted_units,error
2022-03-03,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-03-04,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-03-05,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-03-06,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-03-07,Store_Pune,Air Fryer,Home & Kitchen,7,6,1
2022-03-08,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-03-09,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-03-10,Store_Pune,Air Fryer,Home & Kitchen,9,6,3
2022-03-11,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-03-12,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-03-13,Store_Pune,Air Fryer,Home & Kitchen,7,5,2
2022-03-14,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-03-15,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-03-16,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-03-17,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-03-18,Store_Pune,Air Fryer,Home & Kitchen,8,6,2
2022-03-19,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-03-20,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-03-21,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-03-22,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-03-23,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-03-24,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-03-25,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-03-26,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-03-27,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-03-28,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-03-29,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-03-30,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-03-31,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-04-01,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-04-02,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-04-03,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-04-04,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-04-05,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-04-06,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-04-07,Store_Pune,Air Fryer,Home & Kitchen,3,4,1
2022-04-08,Store_Pune,Air Fryer,Home & Kitchen,6,4,2
2022-04-09,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-04-10,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-04-11,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-04-12,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-04-13,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-04-14,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-04-15,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-04-16,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-04-17,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-04-18,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-04-19,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-04-20,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-04-21,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-04-22,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-04-23,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-04-24,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-04-25,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-04-26,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-04-27,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-04-28,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-04-29,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-04-30,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-05-01,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-05-02,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-05-03,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-05-04,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-05-05,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-05-06,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-05-07,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-05-08,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-05-09,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-05-10,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-05-11,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-05-12,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-05-13,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-05-14,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-05-15,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-05-16,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-05-17,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-05-18,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-05-19,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-05-20,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-05-21,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-05-22,Store_Pune,Air Fryer,Home & Kitchen,8,6,2
2022-05-23,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-05-24,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-05-25,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-05-26,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-05-27,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-05-28,Store_Pune,Air Fryer,Home & Kitchen,7,6,1
2022-05-29,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-05-30,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-05-31,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-06-01,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-06-02,Store_Pune,Air Fryer,Home & Kitchen,6,4,2
2022-06-03,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-06-04,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-06-05,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-06-06,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-06-07,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-06-08,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-06-09,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-06-10,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-06-11,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-06-12,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-06-13,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-06-14,Store_Pune,Air Fryer,Home & Kitchen,8,7,1
2022-06-15,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-06-16,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-06-17,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-06-18,Store_Pune,Air Fryer,Home & Kitchen,5,7,2
2022-06-19,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-06-20,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-06-21,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-06-22,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-06-23,Store_Pune,Air Fryer,Home & Kitchen,5,7,2
2022-06-24,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-06-25,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-06-26,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-06-27,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-06-28,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-06-29,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-06-30,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-07-01,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-07-02,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-07-03,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-07-04,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-07-05,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-07-06,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-07-07,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-07-08,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-07-09,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-07-10,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-07-11,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-07-12,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-07-13,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-07-14,Store_Pune,Air Fryer,Home & Kitchen,7,7,0
2022-07-15,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-07-16,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-07-17,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-07-18,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-07-19,Store_Pune,Air Fryer,Home & Kitchen,7,5,2
2022-07-20,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-07-21,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-07-22,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-07-23,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-07-24,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-07-25,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-07-26,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-07-27,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-07-28,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-07-29,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-07-30,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-07-31,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-01,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-08-02,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-03,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-08-04,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-08-05,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-08-06,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-07,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-08,Store_Pune,Air Fryer,Home & Kitchen,7,7,0
2022-08-09,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-08-10,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-08-11,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-12,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-08-13,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-14,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-08-15,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-16,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-08-17,Store_Pune,Air Fryer,Home & Kitchen,7,7,0
2022-08-18,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-08-19,Store_Pune,Air Fryer,Home & Kitchen,6,7,1
2022-08-20,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-21,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-22,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-08-23,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-24,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-25,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-26,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-08-27,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-28,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-08-29,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-08-30,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-08-31,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-09-01,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-09-02,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-09-03,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-09-04,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-09-05,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-09-06,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-09-07,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-09-08,Store_Pune,Air Fryer,Home & Kitchen,7,7,0
2022-09-09,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-09-10,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-09-11,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-09-12,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-09-13,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-09-14,Store_Pune,Air Fryer,Home & Kitchen,8,7,1
2022-09-15,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-09-16,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-09-17,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2022-09-18,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2022-09-19,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-09-20,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-09-21,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-09-22,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-09-23,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-09-24,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2022-09-25,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2022-09-26,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2022-09-27,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-09-28,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-09-29,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2022-09-30,Store_Pune,Air Fryer,Home & Kitchen,6,4,2
2022-10-01,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-10-02,Store_Pune,Air Fryer,Home & Kitchen,7,6,1
2022-10-03,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-10-04,Store_Pune,Air Fryer,Home & Kitchen,8,8,0
2022-10-05,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-10-06,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-10-07,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-10-08,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-10-09,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-10-10,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-10-11,Store_Pune,Air Fryer,Home & Kitchen,7,6,1
2022-10-12,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-10-13,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-10-14,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-10-15,Store_Pune,Air Fryer,Home & Kitchen,10,7,3
2022-10-16,Store_Pune,Air Fryer,Home & Kitchen,4,7,3
2022-10-17,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-10-18,Store_Pune,Air Fryer,Home & Kitchen,4,6,2
2022-10-19,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-10-20,Store_Pune,Air Fryer,Home & Kitchen,7,8,1
2022-10-21,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-10-22,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-10-23,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-10-24,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-10-25,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-10-26,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-10-27,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-10-28,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-10-29,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-10-30,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-10-31,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-11-01,Store_Pune,Air Fryer,Home & Kitchen,7,6,1
2022-11-02,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-11-03,Store_Pune,Air Fryer,Home & Kitchen,9,8,1
2022-11-04,Store_Pune,Air Fryer,Home & Kitchen,7,6,1
2022-11-05,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-11-06,Store_Pune,Air Fryer,Home & Kitchen,8,6,2
2022-11-07,Store_Pune,Air Fryer,Home & Kitchen,8,6,2
2022-11-08,Store_Pune,Air Fryer,Home & Kitchen,5,7,2
2022-11-09,Store_Pune,Air Fryer,Home & Kitchen,4,7,3
2022-11-10,Store_Pune,Air Fryer,Home & Kitchen,4,6,2
2022-11-11,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-11-12,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-11-13,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-11-14,Store_Pune,Air Fryer,Home & Kitchen,8,8,0
2022-11-15,Store_Pune,Air Fryer,Home & Kitchen,7,6,1
2022-11-16,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-11-17,Store_Pune,Air Fryer,Home & Kitchen,6,7,1
2022-11-18,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-11-19,Store_Pune,Air Fryer,Home & Kitchen,8,7,1
2022-11-20,Store_Pune,Air Fryer,Home & Kitchen,3,6,3
2022-11-21,Store_Pune,Air Fryer,Home & Kitchen,9,7,2
2022-11-22,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-11-23,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-11-24,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-11-25,Store_Pune,Air Fryer,Home & Kitchen,8,8,0
2022-11-26,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-11-27,Store_Pune,Air Fryer,Home & Kitchen,5,7,2
2022-11-28,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-11-29,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-11-30,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-12-01,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-12-02,Store_Pune,Air Fryer,Home & Kitchen,8,8,0
2022-12-03,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-12-04,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-12-05,Store_Pune,Air Fryer,Home & Kitchen,7,6,1
2022-12-06,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-12-07,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-12-08,Store_Pune,Air Fryer,Home & Kitchen,4,6,2
2022-12-09,Store_Pune,Air Fryer,Home & Kitchen,4,6,2
2022-12-10,Store_Pune,Air Fryer,Home & Kitchen,4,6,2
2022-12-11,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-12-12,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-12-13,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-12-14,Store_Pune,Air Fryer,Home & Kitchen,9,8,1
2022-12-15,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-12-16,Store_Pune,Air Fryer,Home & Kitchen,7,6,1
2022-12-17,Store_Pune,Air Fryer,Home & Kitchen,4,6,2
2022-12-18,Store_Pune,Air Fryer,Home & Kitchen,6,7,1
2022-12-19,Store_Pune,Air Fryer,Home & Kitchen,7,6,1
2022-12-20,Store_Pune,Air Fryer,Home & Kitchen,8,7,1
2022-12-21,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-12-22,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-12-23,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-12-24,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-12-25,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-12-26,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-12-27,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-12-28,Store_Pune,Air Fryer,Home & Kitchen,7,6,1
2022-12-29,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2022-12-30,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2022-12-31,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2023-01-01,Store_Pune,Air Fryer,Home & Kitchen,4,6,2
2023-01-02,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2023-01-03,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-01-04,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2023-01-05,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2023-01-06,Store_Pune,Air Fryer,Home & Kitchen,6,5,1
2023-01-07,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2023-01-08,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2023-01-09,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2023-01-10,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2023-01-11,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2023-01-12,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-01-13,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-01-14,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-01-15,Store_Pune,Air Fryer,Home & Kitchen,3,4,1
2023-01-16,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2023-01-17,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2023-01-18,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2023-01-19,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-01-20,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-01-21,Store_Pune,Air Fryer,Home & Kitchen,7,6,1
2023-01-22,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-01-23,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2023-01-24,Store_Pune,Air Fryer,Home & Kitchen,3,4,1
2023-01-25,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-01-26,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2023-01-27,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-01-28,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-01-29,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-01-30,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-01-31,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2023-02-01,Store_Pune,Air Fryer,Home & Kitchen,4,4,0
2023-02-02,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2023-02-03,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2023-02-04,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-02-05,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2023-02-06,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2023-02-07,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-02-08,Store_Pune,Air Fryer,Home & Kitchen,6,6,0
2023-02-09,Store_Pune,Air Fryer,Home & Kitchen,5,6,1
2023-02-10,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2023-02-11,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2023-02-12,Store_Pune,Air Fryer,Home & Kitchen,3,5,2
2023-02-13,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-02-14,Store_Pune,Air Fryer,Home & Kitchen,5,4,1
2023-02-15,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2023-02-16,Store_Pune,Air Fryer,Home & Kitchen,7,6,1
2023-02-17,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-02-18,Store_Pune,Air Fryer,Home & Kitchen,4,5,1
2023-02-19,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-02-20,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
2023-02-21,Store_Pune,Air Fryer,Home & Kitchen,5,5,0
